city,state,dma_name,dma_code
ANCHORAGE,AK,ANCHORAGE,743
AMARILLO,TX,AMARILLO,634
GRAND RAPIDS,MI,GRAND RAPIDS - KALMZOO - B. CRK,563
GREENSBORO,NC,GREENSBORO - H. POINT - W. SALEM,518
TOPEKA,KS,TOPEKA,605
TOLEDO,OH,TOLEDO,547
CHATTANOOGA,TN,CHATTANOOGA,575
RENO,NV,RENO,811
COLUMBIA,SC,"COLUMBIA, SC",546
MONTGOMERY,AL,MONTGOMERY (SELMA),698
MESA,AZ,PHOENIX (PRESCOTT),753
OAKLAND,CA,SAN FRANCISCO - OAK - SAN JOSE,807
SAVANNAH,GA,SAVANNAH,507
MADISON,WI,MADISON,669
ARLINGTON,TX,DALLAS - FT. WORTH,623
PENSACOLA,FL,MOBILE - PENSACOLA (FT WALT),686
NORFOLK,VA,NORFOLK - PORTSMTH - NEWPT NWS,544
NAPLES,FL,FT. MYERS - NAPLES,571
SANTA BARBARA,CA,SANTABARBRA - SANMAR - SANLUOB,855
PEORIA,IL,PEORIA - BLOOMINGTON,675
LONG BEACH,CA,LOS ANGELES,803
SARASOTA,FL,TAMPA - ST. PETE (SARASOTA),539
BINGHAMTON,NY,BINGHAMTON,502
HUNTSVILLE,AL,HUNTSVILLE - DECATUR (FLOR),691
ATHENS,GA,ATLANTA,524
STOCKTON,CA,SACRAMNTO - STKTN - MODESTO,862
SCOTTSDALE,AZ,PHOENIX (PRESCOTT),753
CANTON,OH,CLEVELAND - AKRON (CANTON),510
FORT LAUDERDALE,FL,MIAMI - FT. LAUDERDALE,528
ERIE,PA,ERIE,516
ALEXANDRIA,VA,"WASHINGTON, DC (HAGRSTWN)",511
TALLAHASSEE,FL,TALLAHASSEE - THOMASVILLE,530
BRADENTON,FL,TAMPA - ST. PETE (SARASOTA),539
HAZARD,KY,LEXINGTON,541
OAKLAND PARK,FL,MIAMI - FT. LAUDERDALE,528
ROCKFORD,IL,ROCKFORD,610
AKRON,OH,CLEVELAND - AKRON (CANTON),510
SILVER SPRING,MD,"WASHINGTON, DC (HAGRSTWN)",511
GAINESVILLE,FL,GAINESVILLE,592
RICHMOND,VA,RICHMOND - PETERSBURG,556
KALAMAZOO,MI,GRAND RAPIDS - KALMZOO - B. CRK,563
BOISE,ID,BOISE,757
SOUTH BEND,IN,SOUTH BEND - ELKHART,588
COLUMBUS,GA,"COLUMBUS, GA",522
WINSTON SALEM,NC,GREENSBORO - H. POINT - W. SALEM,518
OVERLAND PARK,KS,KANSAS CITY,616
PASADENA,CA,LOS ANGELES,803
YOUNGSTOWN,OH,YOUNGSTOWN,536
ARLINGTON,VA,"WASHINGTON, DC (HAGRSTWN)",511
ANAHEIM,CA,LOS ANGELES,803
BOCA RATON,FL,WEST PALM BEACH - FT. PIERCE,548
GREENVILLE,SC,GREENVLL - SPART - ASHEVLL - AND,567
MACON,GA,MACON,503
CHARLOTTESVILLE,VA,CHARLOTTESVILLE,584
WACO,TX,WACO - TEMPLE - BRYAN,625
IRVINE,CA,LOS ANGELES,803
GLENDALE,CA,LOS ANGELES,803
SPOKANE,WA,SPOKANE,881
ALBANY,NY,ALBANY - SCHENECTADY - TROY,532
OCALA,FL,ORLANDO - DAYTONA BCH - MELBRN,534
VANCOUVER,WA,"PORTLAND, OR",820
AURORA,CO,DENVER,751
CLEARWATER,FL,TAMPA - ST. PETE (SARASOTA),539
TYLER,TX,TYLER - LONGVIEW (LFKN & NCGD),709
WEST PALM BEACH,FL,WEST PALM BEACH - FT. PIERCE,548
LAKELAND,FL,TAMPA - ST. PETE (SARASOTA),539
FORT MYERS,FL,FT. MYERS - NAPLES,571
STATEN ISLAND,NY,NEW YORK,501
VIRGINIA BEACH,VA,NORFOLK - PORTSMTH - NEWPT NWS,544
HARRISBURG,PA,HARRISBURG - LNCSTR - LEB - YORK,566
SAN BERNARDINO,CA,LOS ANGELES,803
DULUTH,MN,DULUTH - SUPERIOR,676
KANSAS CITY,KS,KANSAS CITY,616
PAINTSVILLE,KY,CHARLESTON - HUNTINGTON,564
SPRING,TX,HOUSTON,618
RIVERSIDE,CA,PALM SPRINGS,804
CEDAR RAPIDS,IA,CEDAR RAPIDS - WTRLO - IWC&DUB,637
HENDERSON,NV,LAS VEGAS,839
BEAUMONT,TX,BEAUMONT - PORT ARTHUR,692
DURHAM,NC,RALEIGH - DURHAM (FAYETVLLE),560
FLINT,MI,FLINT - SAGINAW - BAY CITY,513
FORT PIERCE,FL,WEST PALM BEACH - FT. PIERCE,548
GLENDALE,AZ,PHOENIX (PRESCOTT),753
READING,PA,PHILADELPHIA,504
PANAMA CITY,FL,PANAMA CITY,656
SPOKANE VALLEY,WA,SPOKANE,881
WILMINGTON,DE,PHILADELPHIA,504
DAYTONA BEACH,FL,ORLANDO - DAYTONA BCH - MELBRN,534
FORT SMITH,AR,FT. SMITH - FAY - SPRNGDL - RGRS,670
SPRINGFIELD,IL,CHAMPAIGN & SPRNGFLD - DECATUR,648
EVERETT,WA,SEATTLE - TACOMA,819
GARLAND,TX,DALLAS - FT. WORTH,623
SIOUX FALLS,SD,SIOUX FALLS (MITCHELL),725
AUGUSTA,GA,AUGUSTA,520
MARIETTA,GA,ATLANTA,524
METAIRIE,LA,NEW ORLEANS,622
BELFRY,KY,CHARLESTON - HUNTINGTON,564
GREEN BAY,WI,GREEN BAY - APPLETON,658
LAKE CHARLES,LA,LAKE CHARLES,643
SPRINGFIELD,MO,"SPRINGFIELD, MO",619
MIDLAND,TX,ODESSA - MIDLAND,633
VERO BEACH,FL,WEST PALM BEACH - FT. PIERCE,548
MELBOURNE,FL,ORLANDO - DAYTONA BCH - MELBRN,534
BURBANK,CA,LOS ANGELES,803
ASHEVILLE,NC,GREENVLL - SPART - ASHEVLL - AND,567
CHARLESTON,SC,"CHARLESTON, SC",519
ALLEN,KY,CHARLESTON - HUNTINGTON,564
ORANGE,CA,LOS ANGELES,803
FAYETTEVILLE,NC,RALEIGH - DURHAM (FAYETVLLE),560
HENRICO,VA,RICHMOND - PETERSBURG,556
SCHENECTADY,NY,ALBANY - SCHENECTADY - TROY,532
WHITTIER,CA,LOS ANGELES,803
BERKELEY,CA,SAN FRANCISCO - OAK - SAN JOSE,807
LAFAYETTE,IN,"LAFAYETTE, IN",582
NORTH CHARLESTON,SC,"CHARLESTON, SC",519
NORTH HOLLYWOOD,CA,LOS ANGELES,803
ALLENTOWN,PA,PHILADELPHIA,504
SANTA MONICA,CA,LOS ANGELES,803
SANTA FE,NM,ALBUQUERQUE - SANTA FE,790
HAMPTON,VA,NORFOLK - PORTSMTH - NEWPT NWS,544
SAGINAW,MI,FLINT - SAGINAW - BAY CITY,513
SANTA ANA,CA,LOS ANGELES,803
INGLEWOOD,CA,LOS ANGELES,803
SALEM,OR,"PORTLAND, OR",820
IRVING,TX,DALLAS - FT. WORTH,623
WILMINGTON,NC,WILMINGTON,550
GRAND JUNCTION,CO,GRAND JUNCTION - MONTROSE,773
POMPANO BEACH,FL,MIAMI - FT. LAUDERDALE,528
LAFAYETTE,LA,"LAFAYETTE, LA",642
LAS CRUCES,NM,EL PASO (LAS CRUCES),765
MORGANTOWN,WV,PITTSBURGH,508
EAST SAINT LOUIS,IL,ST. LOUIS,609
VAN NUYS,CA,LOS ANGELES,803
YORK,PA,HARRISBURG - LNCSTR - LEB - YORK,566
BRYAN,TX,WACO - TEMPLE - BRYAN,625
SALINAS,CA,MONTEREY - SALINAS,828
OXNARD,CA,LOS ANGELES,803
BROOKSVILLE,FL,TAMPA - ST. PETE (SARASOTA),539
NORTH LAS VEGAS,NV,LAS VEGAS,839
SCRANTON,PA,WILKES BARRE - SCRANTON,577
MODESTO,CA,SACRAMNTO - STKTN - MODESTO,862
FAIRBANKS,AK,FAIRBANKS,745
MADISON,VA,CHARLOTTESVILLE,584
CHULA VISTA,CA,SAN DIEGO,825
TORRANCE,CA,LOS ANGELES,803
PLANO,TX,DALLAS - FT. WORTH,623
DENTON,TX,DALLAS - FT. WORTH,623
LANSING,MI,LANSING,551
GARY,IN,CHICAGO,602
JACKSON,MI,LANSING,551
ANNAPOLIS,MD,BALTIMORE,512
JOHNSTOWN,PA,JOHNSTOWN - ALTOONA,574
DAVENPORT,IA,DAVENPORT - R. ISLAND - MOLINE,682
BOYNTON BEACH,FL,WEST PALM BEACH - FT. PIERCE,548
HIALEAH,FL,MIAMI - FT. LAUDERDALE,528
CASPER,WY,CASPER - RIVERTON,767
ANDERSON,IN,INDIANAPOLIS,527
ODESSA,TX,ODESSA - MIDLAND,633
OGDEN,UT,SALT LAKE CITY,770
INDEPENDENCE,MO,KANSAS CITY,616
SIOUX CITY,IA,SIOUX CITY,624
NEW CASTLE,PA,PITTSBURGH,508
LONGVIEW,TX,TYLER - LONGVIEW (LFKN & NCGD),709
SANTA ROSA,CA,SAN FRANCISCO - OAK - SAN JOSE,807
SHAWNEE,KS,KANSAS CITY,616
UTICA,NY,UTICA,526
SUFFOLK,VA,NORFOLK - PORTSMTH - NEWPT NWS,544
SANTA CLARITA,CA,LOS ANGELES,803
KOKOMO,IN,INDIANAPOLIS,527
FORT COLLINS,CO,DENVER,751
ROCKVILLE,MD,"WASHINGTON, DC (HAGRSTWN)",511
HOMESTEAD,FL,MIAMI - FT. LAUDERDALE,528
FULLERTON,CA,LOS ANGELES,803
JACKSON,KY,LEXINGTON,541
WICHITA FALLS,TX,WICHITA FALLS & LAWTON,627
PORT CHARLOTTE,FL,FT. MYERS - NAPLES,571
CAPE CORAL,FL,FT. MYERS - NAPLES,571
OCEANSIDE,CA,SAN DIEGO,825
ALBANY,GA,"ALBANY, GA",525
HARRISONBURG,VA,HARRISONBURG,569
FREDERICKSBURG,VA,"WASHINGTON, DC (HAGRSTWN)",511
BILLINGS,MT,BILLINGS,756
TERRE HAUTE,IN,TERRE HAUTE,581
JOLIET,IL,CHICAGO,602
BELLEVUE,WA,SEATTLE - TACOMA,819
CHANDLER,AZ,PHOENIX (PRESCOTT),753
PASADENA,TX,HOUSTON,618
ANN ARBOR,MI,DETROIT,505
HYATTSVILLE,MD,"WASHINGTON, DC (HAGRSTWN)",511
LANCASTER,PA,HARRISBURG - LNCSTR - LEB - YORK,566
TUSCALOOSA,AL,BIRMINGHAM (ANN & TUSC),630
NEWPORT NEWS,VA,NORFOLK - PORTSMTH - NEWPT NWS,544
FARGO,ND,FARGO - VALLEY CITY,724
DECATUR,GA,ATLANTA,524
SAINT JOSEPH,MO,ST. JOSEPH,638
BOULDER,CO,DENVER,751
CONROE,TX,HOUSTON,618
BELLEVILLE,IL,ST. LOUIS,609
MATHEWS,VA,NORFOLK - PORTSMTH - NEWPT NWS,544
KISSIMMEE,FL,ORLANDO - DAYTONA BCH - MELBRN,534
BLOOMINGTON,IN,INDIANAPOLIS,527
PUEBLO,CO,COLORADO SPRINGS - PUEBLO,752
PASCO,WA,YAKIMA - PASCO - RCHLND - KNNWCK,810
MONROE,LA,MONROE - EL DORADO,628
GADSDEN,AL,BIRMINGHAM (ANN & TUSC),630
TROY,MI,DETROIT,505
GILBERT,AZ,PHOENIX (PRESCOTT),753
GAINESVILLE,MO,"SPRINGFIELD, MO",619
BEAVERTON,OR,"PORTLAND, OR",820
NORTH LITTLE ROCK,AR,LITTLE ROCK - PINE BLUFF,693
RACINE,WI,MILWAUKEE,617
MORENO VALLEY,CA,PALM SPRINGS,804
LAWTON,OK,WICHITA FALLS & LAWTON,627
CHESAPEAKE,VA,NORFOLK - PORTSMTH - NEWPT NWS,544
HAYWARD,CA,SAN FRANCISCO - OAK - SAN JOSE,807
DEARBORN,MI,DETROIT,505
NEWPORT BEACH,CA,LOS ANGELES,803
PALM BAY,FL,ORLANDO - DAYTONA BCH - MELBRN,534
AURORA,IL,CHICAGO,602
BOWIE,MD,"WASHINGTON, DC (HAGRSTWN)",511
SYLMAR,CA,LOS ANGELES,803
HINDMAN,KY,LEXINGTON,541
HOLLYWOOD,FL,MIAMI - FT. LAUDERDALE,528
CONCORD,CA,SAN FRANCISCO - OAK - SAN JOSE,807
PUNXSUTAWNEY,PA,JOHNSTOWN - ALTOONA,574
ESCONDIDO,CA,SAN DIEGO,825
BRIDGEVIEW,IL,CHICAGO,602
LEHIGH ACRES,FL,FT. MYERS - NAPLES,571
EUGENE,OR,EUGENE,801
ABILENE,TX,ABILENE - SWEETWATER,662
ZEPHYRHILLS,FL,TAMPA - ST. PETE (SARASOTA),539
BISMARCK,ND,MINOT - BISMARCK - DICKINSON,687
CEDAR CITY,UT,SALT LAKE CITY,770
SPARTANBURG,SC,GREENVLL - SPART - ASHEVLL - AND,567
SPARKS,NV,RENO,811
KINGMAN,AZ,PHOENIX (PRESCOTT),753
ANNISTON,AL,BIRMINGHAM (ANN & TUSC),630
ARVADA,CO,DENVER,751
MISSOULA,MT,MISSOULA,762
JAMAICA,NY,NEW YORK,501
FLAGSTAFF,AZ,PHOENIX (PRESCOTT),753
ALEXANDRIA,LA,"ALEXANDRIA, LA",644
LITTLETON,CO,DENVER,751
HOUSTON,MO,"SPRINGFIELD, MO",619
CARSON CITY,NV,RENO,811
CENTERVILLE,IA,DES MOINES - AMES,679
PORT SAINT LUCIE,FL,WEST PALM BEACH - FT. PIERCE,548
WHITE PLAINS,NY,NEW YORK,501
SAN ANGELO,TX,SAN ANGELO,661
LAREDO,TX,LAREDO,749
GARDEN GROVE,CA,LOS ANGELES,803
FAIRFAX,VA,"WASHINGTON, DC (HAGRSTWN)",511
PARKERSBURG,WV,PARKERSBURG,597
DELRAY BEACH,FL,WEST PALM BEACH - FT. PIERCE,548
COVINGTON,GA,ATLANTA,524
PEORIA,AZ,PHOENIX (PRESCOTT),753
TEMPE,AZ,PHOENIX (PRESCOTT),753
MANSFIELD,OH,CLEVELAND - AKRON (CANTON),510
MYRTLE BEACH,SC,MYRTLE BEACH - FLORENCE,570
WARREN,MI,DETROIT,505
TELL CITY,IN,EVANSVILLE,649
IDAHO FALLS,ID,IDAHO FALLS - POCATELLO,758
SAINT AUGUSTINE,FL,JACKSONVILLE,561
WINTER HAVEN,FL,TAMPA - ST. PETE (SARASOTA),539
PUNTA GORDA,FL,FT. MYERS - NAPLES,571
DECATUR,IL,CHAMPAIGN & SPRNGFLD - DECATUR,648
ANDERSON,SC,GREENVLL - SPART - ASHEVLL - AND,567
JACKSONVILLE,NC,GREENVILLE - N. BERN - WASHNGTN,545
BLUE RIDGE,GA,ATLANTA,524
CENTENNIAL,CO,DENVER,751
LANCASTER,CA,LOS ANGELES,803
ENGLISH,IN,LOUISVILLE,529
GULFPORT,MS,BILOXI - GULFPORT,746
SAINT CLOUD,MN,MINNEAPOLIS - ST. PAUL,613
CORONA,CA,PALM SPRINGS,804
GARNETT,KS,KANSAS CITY,616
HUNTINGTON BEACH,CA,LOS ANGELES,803
MUSKEGON,MI,GRAND RAPIDS - KALMZOO - B. CRK,563
ANTIGO,WI,WAUSAU - RHINELANDER,705
WATERFORD,MI,DETROIT,505
LOGANSPORT,IN,INDIANAPOLIS,527
PEMBROKE PINES,FL,MIAMI - FT. LAUDERDALE,528
BOSSIER CITY,LA,SHREVEPORT,612
MCALLEN,TX,HARLINGEN - WSLCO - BRNSVL - MCA,636
VALDOSTA,GA,TALLAHASSEE - THOMASVILLE,530
BRANDENBURG,KY,LOUISVILLE,529
EDMOND,OK,OKLAHOMA CITY,650
KINGSTON,NY,NEW YORK,501
SAN RAFAEL,CA,SAN FRANCISCO - OAK - SAN JOSE,807
KENT,WA,SEATTLE - TACOMA,819
FORSYTH,MO,"SPRINGFIELD, MO",619
JERSEY SHORE,PA,WILKES BARRE - SCRANTON,577
SANTA CLARA,CA,SAN FRANCISCO - OAK - SAN JOSE,807
CHEYENNE,WY,CHEYENNE - SCOTTSBLUF,759
BEND,OR,"BEND, OR",821
CLINTON,IA,DAVENPORT - R. ISLAND - MOLINE,682
PORTSMOUTH,VA,NORFOLK - PORTSMTH - NEWPT NWS,544
FLORENCE,SC,MYRTLE BEACH - FLORENCE,570
BAY SAINT LOUIS,MS,NEW ORLEANS,622
LAWRENCEVILLE,GA,ATLANTA,524
INEZ,KY,CHARLESTON - HUNTINGTON,564
BRADY,TX,SAN ANGELO,661
CHARLOTTE COURT HOUSE,VA,ROANOKE - LYNCHBURG,573
YONKERS,NY,NEW YORK,501
ALDERSON,WV,BLUEFIELD - BECKLEY - OAK HILL,559
CULPEPER,VA,"WASHINGTON, DC (HAGRSTWN)",511
KATY,TX,HOUSTON,618
BULLHEAD CITY,AZ,PHOENIX (PRESCOTT),753
MERIDIAN,MS,MERIDIAN,711
BATTLE CREEK,MI,GRAND RAPIDS - KALMZOO - B. CRK,563
MOUNTAIN VIEW,CA,SAN FRANCISCO - OAK - SAN JOSE,807
CARBONDALE,IL,PADUCAH - CAPE GIRAR D - HARSBG,632
BOZEMAN,MT,BUTTE - BOZEMAN,754
MIAMI BEACH,FL,MIAMI - FT. LAUDERDALE,528
LARAMIE,WY,DENVER,751
NORTH PORT,FL,TAMPA - ST. PETE (SARASOTA),539
OTTAWA,KS,KANSAS CITY,616
GAITHERSBURG,MD,"WASHINGTON, DC (HAGRSTWN)",511
BROWNSVILLE,TX,HARLINGEN - WSLCO - BRNSVL - MCA,636
SPRINGFIELD,OH,DAYTON,542
YAKIMA,WA,YAKIMA - PASCO - RCHLND - KNNWCK,810
WOODBRIDGE,VA,"WASHINGTON, DC (HAGRSTWN)",511
VENTURA,CA,LOS ANGELES,803
LYNCHBURG,VA,ROANOKE - LYNCHBURG,573
BEAUFORT,SC,SAVANNAH,507
WILKES BARRE,PA,WILKES BARRE - SCRANTON,577
KILLEEN,TX,WACO - TEMPLE - BRYAN,625
MINOT,ND,MINOT - BISMARCK - DICKINSON,687
MUNCIE,IN,INDIANAPOLIS,527
GRANT CITY,MO,KANSAS CITY,616
CHAMPAIGN,IL,CHAMPAIGN & SPRNGFLD - DECATUR,648
CARLSBAD,CA,SAN DIEGO,825
FARMINGTON,MI,DETROIT,505
JACKSON,TN,"JACKSON, TN",639
HOLLISTER,MO,"SPRINGFIELD, MO",619
IRON MOUNTAIN,MI,MARQUETTE,553
BRISTOL,VA,"TRI - CITIES, TN - VA",531
VISALIA,CA,FRESNO - VISALIA,866
BROWNSVILLE,PA,PITTSBURGH,508
PALM DESERT,CA,PALM SPRINGS,804
PALATINE,IL,CHICAGO,602
ROCHESTER,MN,ROCHESTR - MASON CITY - AUSTIN,611
SPRING VALLEY,CA,SAN DIEGO,825
RANCHO CUCAMONGA,CA,LOS ANGELES,803
ROUND ROCK,TX,AUSTIN,635
EAST PALO ALTO,CA,SAN FRANCISCO - OAK - SAN JOSE,807
AUBURN,WA,SEATTLE - TACOMA,819
CHICO,CA,CHICO - REDDING,868
BURNS,OR,"PORTLAND, OR",820
NIAGARA FALLS,NY,BUFFALO,514
GRAND PRAIRIE,TX,DALLAS - FT. WORTH,623
WEST COLUMBIA,SC,"COLUMBIA, SC",546
GRANTSVILLE,WV,CHARLESTON - HUNTINGTON,564
GATE CITY,VA,"TRI - CITIES, TN - VA",531
TEMECULA,CA,PALM SPRINGS,804
DUBUQUE,IA,CEDAR RAPIDS - WTRLO - IWC&DUB,637
LEES SUMMIT,MO,KANSAS CITY,616
LEESBURG,FL,ORLANDO - DAYTONA BCH - MELBRN,534
LEESBURG,VA,"WASHINGTON, DC (HAGRSTWN)",511
SOUTHFIELD,MI,DETROIT,505
VICTORIA,TX,VICTORIA,626
OWENSBORO,KY,EVANSVILLE,649
TRACY,CA,SACRAMNTO - STKTN - MODESTO,862
SOUTHEASTERN,PA,PHILADELPHIA,504
BRUNSWICK,GA,JACKSONVILLE,561
CLEVELAND,TN,CHATTANOOGA,575
GREAT FALLS,MT,GREAT FALLS,755
DUSHORE,PA,WILKES BARRE - SCRANTON,577
NEW BERN,NC,GREENVILLE - N. BERN - WASHNGTN,545
GREAT NECK,NY,NEW YORK,501
AVOCA,IA,OMAHA,652
BOWLING GREEN,KY,BOWLING GREEN,736
DOTHAN,AL,DOTHAN,606
DOUGLASVILLE,GA,ATLANTA,524
BILOXI,MS,BILOXI - GULFPORT,746
LEVITTOWN,PA,PHILADELPHIA,504
ENID,OK,OKLAHOMA CITY,650
WATERLOO,IA,CEDAR RAPIDS - WTRLO - IWC&DUB,637
LARGO,FL,TAMPA - ST. PETE (SARASOTA),539
LIMA,OH,LIMA,558
THOUSAND OAKS,CA,LOS ANGELES,803
OLYMPIA,WA,SEATTLE - TACOMA,819
CROSSVILLE,TN,KNOXVILLE,557
STATE COLLEGE,PA,JOHNSTOWN - ALTOONA,574
HUMBLE,TX,HOUSTON,618
SEMINOLE,FL,TAMPA - ST. PETE (SARASOTA),539
DEVILS LAKE,ND,FARGO - VALLEY CITY,724
RENTON,WA,SEATTLE - TACOMA,819
APPLETON,WI,GREEN BAY - APPLETON,658
MARION,OH,"COLUMBUS, OH",535
SAINT CLOUD,FL,ORLANDO - DAYTONA BCH - MELBRN,534
MCKEESPORT,PA,PITTSBURGH,508
MARCELL,MN,DULUTH - SUPERIOR,676
CLEARFIELD,UT,SALT LAKE CITY,770
STERLING HEIGHTS,MI,DETROIT,505
STERLING,VA,"WASHINGTON, DC (HAGRSTWN)",511
CHALMETTE,LA,NEW ORLEANS,622
ELMIRA,NY,ELMIRA (CORNING),565
ARCADIA,CA,LOS ANGELES,803
REDDING,CA,CHICO - REDDING,868
REDWOOD CITY,CA,SAN FRANCISCO - OAK - SAN JOSE,807
ARCATA,CA,EUREKA,802
GASTONIA,NC,CHARLOTTE,517
RICHARDSON,TX,DALLAS - FT. WORTH,623
NEW PORT RICHEY,FL,TAMPA - ST. PETE (SARASOTA),539
GREENVILLE,NC,GREENVILLE - N. BERN - WASHNGTN,545
LIVONIA,MI,DETROIT,505
MARYVILLE,TN,KNOXVILLE,557
EASTON,PA,PHILADELPHIA,504
BROOKHAVEN,GA,ATLANTA,524
BROOKFIELD,WI,MILWAUKEE,617
LAUREL,MD,"WASHINGTON, DC (HAGRSTWN)",511
COLUMBUS,MS,COLUMBUS - TUPELO - WEST POINT,673
MILES CITY,MT,BILLINGS,756
SEBRING,FL,TAMPA - ST. PETE (SARASOTA),539
ORANGE PARK,FL,JACKSONVILLE,561
GOLDEN,CO,DENVER,751
BETHESDA,MD,"WASHINGTON, DC (HAGRSTWN)",511
APACHE JUNCTION,AZ,PHOENIX (PRESCOTT),753
MARTINSBURG,WV,"WASHINGTON, DC (HAGRSTWN)",511
SEDONA,AZ,PHOENIX (PRESCOTT),753
HOT SPRINGS NATIONAL PARK,AR,LITTLE ROCK - PINE BLUFF,693
NAPERVILLE,IL,CHICAGO,602
CLARKSVILLE,TN,NASHVILLE,659
RICHMOND,CA,SAN FRANCISCO - OAK - SAN JOSE,807
CLERMONT,FL,ORLANDO - DAYTONA BCH - MELBRN,534
SAINT GEORGE,UT,SALT LAKE CITY,770
EL MONTE,CA,LOS ANGELES,803
BLOOMINGTON,IL,PEORIA - BLOOMINGTON,675
EMINENCE,KY,LOUISVILLE,529
JOHNSON CITY,TN,"TRI - CITIES, TN - VA",531
JUPITER,FL,WEST PALM BEACH - FT. PIERCE,548
SLIDELL,LA,NEW ORLEANS,622
FREMONT,CA,SAN FRANCISCO - OAK - SAN JOSE,807
GAINESVILLE,GA,ATLANTA,524
SANTA CRUZ,CA,MONTEREY - SALINAS,828
PIKEVILLE,KY,CHARLESTON - HUNTINGTON,564
PETALUMA,CA,SAN FRANCISCO - OAK - SAN JOSE,807
PUYALLUP,WA,SEATTLE - TACOMA,819
CAVALIER,ND,FARGO - VALLEY CITY,724
DE SOTO,MO,ST. LOUIS,609
LOVES PARK,IL,ROCKFORD,610
KINGSPORT,TN,"TRI - CITIES, TN - VA",531
MESQUITE,TX,DALLAS - FT. WORTH,623
